meus vizinhos os yamada,audiovisual/animacao/comedia/japao/infantil,0
crash 1,jogo/crash-bandicoot/plataforma/classico/aventura/acao/comedia/infantil,0
crash 2,jogo/crash-bandicoot/plataforma/classico/aventura/acao/comedia/infantil,0
crash 3,jogo/crash-bandicoot/plataforma/classico/aventura/acao/comedia/infantil/terceira-pessoa,0
zelda oracle of seasons/ages,zelda/jogo/aventura/fantasia/acao,0
enraizados,livro/fantasia/young-adult/ficcao/romance/magia/conto-de-fadas/alta-fantasia/adulto/retelling/novos-adultos,29
zelda spirit track,zelda/jogo/aventura/fantasia/acao,0
zelda phantom hourglas,zelda/jogo/aventura/fantasia/acao,0
nos,livro/scifi,0
a canção de sangue,livro/fantasia/epica/alta-fantasia/aventura/young-adult/magia/adulto/fantasia-scifi,0
assassins creed odissey,jogo/assassins-creed/mundo-aberto/rpg/acao/aventura/historia/furtivo/narrativa/parkour/thir-person,0
greed fall,jogo/mundo-aberto/narrativa/terceira-pessoa/aventura/fantasia/acao/adulto/action-rpg/magia/novel/medieval,0
curb your entusiasm,audiovisual/comedia,0
Witcher 7,livro/witcher/fantasia/ficcao/literatura-polonesa/aventura/alta-fantasia/epica/magia/adulto/fantasia-scifi,0
sekiro,jogo/souls-like/acao/furtivo/aventura/terceira-pessoa/mundo-aberto/narrativa/dark-fantasy/hack-n-slash/rpg,0
O fim da infância,livro/scifi/espaco/asimov,12
Super Mario 3D World,jogo/plataforma/mario/aventura/switch,0
a natureza da terra media,livro/tolkien/senhor-dos-aneis/classico/ficcao/alta-fantasia/epica,0
psychonauts,jogo/plataforma/comedia/aventura/cult/acao/classico/surrealista/coletaton/3d/pc,0
luigi's mansion 3,jogo/acao/aventura/switch,0
ratched and clank,jogo/plataforma/aventura/acao/shooter/terceira-pessoa/playstation,0
batman the telltale series,jogo/batman/super-heroi/quadrinhos/aventura/narrativa/acao/point and click/detetive/noir/visual-novel,0
the last guardian,jogo/acao/aventura/exploracao/terceira-pessoa/playstation,0
fundação,audiovisual/drama/asimov/scifi/ficcao/fantasia-scifi/classico/espaco/fantasia/novel/space-opera/ficcao-especulativa,0
warioware get it together,jogo/acao/festa/switch,300
kingdom of amalur re-reckoning,jogo/rpg/acao/fantasia/mundo-aberto/aventura/hack-and-slash/terceira-pessoa/narrativa,0
subnautica,jogo/survivor/mundo-aberto/exploracao/terror/aventura/primeira-pessoa/scifi/acao/indie/playstation,0
pokemon black and white,jogo/pokemon/rpg/aventura/anime/jrpg/fantasia/3ds,0
django,audiovisual/faroeste/acao/aventura/europa,13
Deuses americanos,livro/gaiman/fantasia/ficcao/fantasia-urbana/mitologia/scifi/fantasia-scifi/adulto/contemporaneo/novel,36
seinfeld s3,audiovisual/seinfield/comedia/sitcom,0
dandy ace,jogo/acao/indie/roguelite/isometrico/dungeon-crawler/roguelike/magia/indie,0,1
final fantasy 14,jogo/mmorpg/rpg/fantasia/jrpg/narrativa/mundo-aberto/anime/aventura/magia/acao/action-rpg/playstation,0,1
kirby and the forgotten land,jogo/plataforma/acao/exploracao/switch,0,1
dandy randy dx,jogo/aventura/acao/exploracao/humor/casual/fantasia/retro/indie/switch,0,1
ghostrunner,jogo/playstation/acao/cyberpunk/primeira-pessoa/dificil/scifi/hackn-slash/aventura/pos-apocaliptico/estrategia/luta,0,1
ghost of a tale,jogo/playstation/aventura/furtivo/rpg/indie/fantasia/terceira-pessoa/acao/medieval/mundo-aberto/action-rpg/quebra-cabeca/exploracao,0,1
guardians of the Galaxy,jogo/super-heroi/marvel/playstation/narrativa/acao/aventura/tps/exploracao/aventura/comedia/scifi/space-opera/rpg,0,1
Death Stranding,jogo/walking-simulator/mundo-aberto/narrativa/pos-apocaliptico/scifi/terceira-pessoa/aventura/exploracao/terror/furtivo/acao/survivor/playstation,0,1
demons souls,jogo/soulslike/dark-fantasy/rpg/acao/dificil/fantasia/action-rpg/aventura/terceira-pessoa/exploracao/playstation,0,1
o ceu de pedra,livro/n-k-jemisin/broken-earth/fantasia/ficcao/scifi/distopia/fantasia-scifi/adulto/pos-apocaliptico/ficcao-especulativa/magia,0
Espartaco e seus gloriosos gladiadores,livro/historia/antiguidade,60,1
Leonardo da Vinci e seu supercérebro,livro/nao-ficcao/historia/infantil/biografia/comedia/literatura-europeia/literatura-tcheca,22,1
battlechasers,jogo/rpg/turno/jrpg/dungeon-crawler/fantasia/indie/narrativa/hq/isometrico/mundo-aberto/aventura/anime/switch,0,1
the exploration of space,livro/arthur-c-clarke/nao-ficcao/ciencia/espaco,0,1
crash 4,jogo/crash-bandicoot/plataforma/classico/aventura/acao/comedia/infantil/terceira-pessoa,0,1
runner3,jogo/indie/ritmo/plataforma/acao,0,1
O Islã e a formação da Europa,livro/historia/isla/religiao/nao-ficcao/historia-europeia/medieval/cristanismo/historia-medieval/historia-geral/espanha,0,1
O fim do homem sovietico,livro/nao-ficcao/historia/cultura-russa/politica/literatura-russa/nobel/historico/biografia/historia-russa/jornalismo,0,1
pikimin 3,jogo/estrategia/quebra-cabeca/acao/aventura/switch,0,1
O Andar do bebado,livro/nao-ficcao/ciencia/psicologia/matematica/economia/negocios/filosofia/historia/ciencia-popular/fisica,0,1
Os homens que não amavam as mulheres,livro/stieg-larsson/ficcao/misterio/suspense/crime/suspense-de-misterio/contemporaneo/adulto/ficcao-adulta/novel,0,1
Alexandre o grande e sua sede de fama,livro/nao-ficcao/infantil,70,1
